n_hidden,layer_size,eta,activation,n_epochs,optimizer,train_acc,val_acc,test_acc
2,250,1.0,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,250,1.0,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,250,1.0,ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
2,250,1.0,ReLU,100,train_network_momentum,0.096,0.09,0.09
2,250,1.0,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,250,1.0,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,250,1.0,leaky_ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
2,250,1.0,leaky_ReLU,100,train_network_momentum,0.096,0.09,0.09
2,250,0.1,sigmoid,100,train_network_SRMSprop,0.098,0.092,0.114
2,250,0.1,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,250,0.1,sigmoid,100,train_network_stocastic_momentum,0.09733333333333333,0.116,0.106
2,250,0.1,sigmoid,100,train_network_momentum,0.096,0.09,0.09
2,250,0.1,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,250,0.1,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,250,0.1,ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
2,250,0.1,ReLU,100,train_network_momentum,0.096,0.09,0.09
2,250,0.1,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,250,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,250,0.1,leaky_ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
2,250,0.1,leaky_ReLU,100,train_network_momentum,0.096,0.09,0.09
2,250,0.01,sigmoid,100,train_network_SRMSprop,0.9926666666666667,0.886,0.902
2,250,0.01,sigmoid,100,train_network_stocastic_ADAM,0.9906666666666667,0.928,0.9
2,250,0.01,sigmoid,100,train_network_stocastic_momentum,0.9726666666666667,0.868,0.856
2,250,0.01,sigmoid,100,train_network_momentum,0.096,0.09,0.09
2,250,0.01,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,250,0.01,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,250,0.01,ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
2,250,0.01,ReLU,100,train_network_momentum,0.096,0.09,0.09
2,250,0.01,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,250,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,250,0.01,leaky_ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
2,250,0.01,leaky_ReLU,100,train_network_momentum,0.096,0.09,0.09
2,1000,1.0,sigmoid,100,train_network_SRMSprop,0.096,0.09,0.09
2,1000,1.0,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,1000,1.0,sigmoid,100,train_network_stocastic_momentum,0.096,0.09,0.09
2,1000,1.0,sigmoid,100,train_network_momentum,0.096,0.09,0.09
2,1000,1.0,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,1000,1.0,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,1000,1.0,ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
2,1000,1.0,ReLU,100,train_network_momentum,0.096,0.09,0.09
2,1000,1.0,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,1000,1.0,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,1000,1.0,leaky_ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
2,1000,1.0,leaky_ReLU,100,train_network_momentum,0.096,0.09,0.09
2,1000,0.1,sigmoid,100,train_network_SRMSprop,0.09533333333333334,0.098,0.104
2,1000,0.1,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,1000,0.1,sigmoid,100,train_network_stocastic_momentum,0.096,0.09,0.09
2,1000,0.1,sigmoid,100,train_network_momentum,0.096,0.09,0.09
2,1000,0.1,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,1000,0.1,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,1000,0.1,ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
2,1000,0.1,ReLU,100,train_network_momentum,0.096,0.09,0.09
2,1000,0.1,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,1000,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,1000,0.1,leaky_ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
2,1000,0.1,leaky_ReLU,100,train_network_momentum,0.096,0.09,0.09
2,1000,0.01,sigmoid,100,train_network_SRMSprop,0.9713333333333334,0.91,0.866
2,1000,0.01,sigmoid,100,train_network_stocastic_ADAM,0.9286666666666666,0.852,0.852
2,1000,0.01,sigmoid,100,train_network_stocastic_momentum,0.4146666666666667,0.412,0.382
2,1000,0.01,sigmoid,100,train_network_momentum,0.096,0.09,0.09
2,1000,0.01,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,1000,0.01,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,1000,0.01,ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
2,1000,0.01,ReLU,100,train_network_momentum,0.096,0.09,0.09
2,1000,0.01,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,1000,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,1000,0.01,leaky_ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
2,1000,0.01,leaky_ReLU,100,train_network_momentum,0.096,0.09,0.09
3,25,1.0,sigmoid,100,train_network_SRMSprop,0.08866666666666667,0.052,0.098
3,25,1.0,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
3,25,1.0,sigmoid,100,train_network_stocastic_momentum,0.08533333333333333,0.084,0.104
3,25,1.0,sigmoid,100,train_network_momentum,0.096,0.09,0.09
3,25,1.0,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
3,25,1.0,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
3,25,1.0,ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
3,25,1.0,ReLU,100,train_network_momentum,0.096,0.09,0.09
3,25,1.0,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
